country,code,population,totalaid,totalaid_percap
Bangladesh,BGD,148692000,34995677694.7953,235.356829518705
Benin,BEN,8850000,5662834248.71775,639.868276691271
Bolivia,BOL,9929000,13066007448.3166,1315.94394685432
Brazil,BRA,194946000,56543875204.303,290.048912028474
Burkina Faso,BFA,16468000,9594681958.23858,582.625817235765
Burundi,BDI,8382000,4194580530.12524,500.42716894837
Cameroon,CMR,19599000,8900462102.36804,454.128379119753
Chad,TCD,11227000,4628120872.5081,412.231306004106
Colombia,COL,46295000,35797270423.9912,773.242691953584
Congo  Dem. Rep.,COD,65965000,11495134387.4625,174.261114037179
Cote D'Ivoire,CIV,19738000,11510791430.4946,583.179219297528
Ecuador,ECU,14465000,13947386442.5384,964.216138440264
Egypt,EGY,81121000,31347499195.9607,386.428904919327
Ethiopia,ETH,82950000,20582540415.5095,248.131891687879
Ghana,GHA,24392000,14012131421.054,574.456027429241
Haiti,HTI,9993000,7437111344.19792,744.232096887613
Honduras,HND,7600000,8808638614.40242,1159.0313966319
Guatamala,GUA,7600000,8808638614,1159
Indonesia,IDN,239870000,73410810782.5408,306.044152176349
Jamaica,JAM,2702000,5893158449.2356,2181.035695498
Kenya,KEN,40513000,21784733089.4413,537.722042046782
Madagascar,MDG,20714000,7795841419.30523,376.356156189303
Mali,MLI,15370000,12371920196.8755,804.939505326967
Mauritania,MRT,3460000,4862342265.8209,1405.30123289621
Morocco,MAR,31951000,35604772195.1716,1114.35548794002
Nepal,NPL,29959000,10818059065.5155,361.095465987366
Nicaragua,NIC,5789000,9496097712.25328,1640.3692714205
Niger,NER,15512000,7386579781.11743,476.18487500757
Pakistan,PAK,173593000,42701780890.104,245.987919386749
Peru,PER,29076000,21928829883.7619,754.190049654762
Philippines,PHL,93261000,32454477002.1491,347.996236391944
Rwanda,RWA,10624000,7242593248.18728,681.71999700558
Senegal,SEN,12434000,13381737777.4856,1076.22147156873
Sri Lanka,LKA,20860000,14423149747.4356,691.426162389049
Sudan,SDN,43552000,13591616411.0351,312.077893346691
Tanzania,TZA,44841000,24500715681.6972,546.390929767337
Thailand,THA,69122000,19200646299.0941,277.779090580338
Tunisia,TUN,10549000,17931751034.8042,1699.85316473639
Yemen,YEM,24053000,10841503749.5699,450.733952087885
Zambia,ZMB,12927000,13392438822.9582,1036.00516925491
