country,code,population,agriculture,agriculturepercap,Education,Educationpercap,Health,Healthpercap,water,waterpercap,Law,Lawpercap
Bangladesh,BGD,148692000,14400000000,97.15976133,6640000000,44.63347788,6820000000,45.89770906,3450000000,23.18079583,3640000000,24.48508542
Benin,BEN,8850000,1470000000,166.5317201,1090000000,122.9436192,1140000000,129.1947698,938000000,106.0001481,1020000000,115.1980194
Bolivia,BOL,9929000,3630000000,365.9969861,1490000000,149.8141841,1580000000,158.7621699,1750000000,176.5883356,4610000000,464.7822711
Brazil,BRA,194946000,17600000000,90.51612698,5660000000,29.03154532,4580000000,23.49654301,13300000000,68.09059065,15400000000,78.91410607
Burkina Faso,BFA,16468000,3230000000,196.1189955,1630000000,99.02203226,1400000000,84.77479751,1940000000,117.6334526,1400000000,85.07653933
Burundi,BDI,8382000,1340000000,160.2365435,500000000,59.6693786,701000000,83.65405251,490000000,58.39964515,1160000000,138.4675492
Cameroon,CMR,19599000,3810000000,194.2505672,2080000000,106.2299519,1070000000,54.73287721,1110000000,56.5694671,830000000,42.34551571
Chad,TCD,11227000,1790000000,159.7087992,646000000,57.52165211,861000000,76.71924708,581000000,51.70589946,747000000,66.57570818
Colombia,COL,46295000,5830000000,125.9343339,2560000000,55.30034316,1220000000,26.40647508,4460000000,96.28985946,21700000000,469.3116804
Dem. Rep.,COD,65965000,2130000000,32.22464066,1190000000,18.08045262,2970000000,45.04661678,1850000000,28.08782385,3350000000,50.82158013
Cote D'Ivoire,CIV,19738000,4790000000,242.5096268,1590000000,80.64150402,1440000000,72.82074991,970000000,49.13093115,2730000000,138.0764074
Ecuador,ECU,14465000,3980000000,275.4396407,1510000000,104.569338,1100000000,76.27301486,3590000000,248.0151612,3760000000,259.9189836
Egypt,EGY,81121000,11100000000,136.5997132,4500000000,55.51799612,3250000000,40.0634585,8080000000,99.5644317,4440000000,54.68330541
Ethiopia,ETH,82950000,5830000000,70.31392946,3410000000,41.10842296,5050000000,60.85461697,2080000000,25.099413,4210000000,50.75550929
Ghana,GHA,24392000,4230000000,173.588663,2070000000,84.66020722,2520000000,103.3784607,2290000000,94.07884942,2900000000,118.7498471
Haiti,HTI,9993000,1330000000,133.3434195,1110000000,110.7188371,1870000000,187.504711,755000000,75.51015912,2370000000,237.1549702
Honduras,HND,7600000,2680000000,352.4942115,1060000000,139.2069447,1120000000,147.3630441,1510000000,198.3214537,2440000000,321.6457427
India,IND,1224615000,43600000000,35.64214313,9970000000,8.139973297,15700000000,12.7903156,17200000000,14.07659213,10900000000,8.885098799
Indonesia,IDN,239870000,30000000000,125.2123319,14900000000,62.23045694,6720000000,27.99942324,7030000000,29.3055814,14700000000,61.29635867
Jamaica,JAM,2702000,1970000000,730.3022689,1010000000,373.0943234,545000000,201.7486252,645000000,238.7194684,1720000000,637.1710096
Kenya,KEN,40513000,7300000000,180.229059,2360000000,58.28027397,6050000000,149.2361276,3480000000,85.96526101,2590000000,64.01132048
Madagascar,MDG,20714000,3520000000,169.9470144,1270000000,61.37534527,1240000000,59.78913023,608000000,29.36683663,1160000000,55.8778297
Mali,MLI,15370000,4510000000,293.1830369,2000000000,129.9566144,1540000000,100.3372877,2210000000,143.7731226,2120000000,137.6894437
Mauritania,MRT,3460000,1730000000,500.2268661,749000000,216.4577559,474000000,136.9788876,1210000000,350.1249948,697000000,201.5127285
Morocco,MAR,31951000,12600000000,395.0650335,6770000000,211.9841166,1900000000,59.40540238,9680000000,302.8847856,4630000000,145.0161499
Nepal,NPL,29959000,4480000000,149.3883081,2000000000,66.7383209,1550000000,51.82397315,1320000000,43.96232328,1470000000,49.1825406
Nicaragua,NIC,5789000,2460000000,424.676902,1060000000,182.8668945,1510000000,260.4931071,1130000000,194.8653665,3340000000,577.4670013
Niger,NER,15512000,2650000000,171.1517086,944000000,60.87211189,1060000000,68.60821732,1390000000,89.55123137,1330000000,86.00160581
Pakistan,PAK,173593000,18600000000,107.1335373,6780000000,39.08288667,4320000000,24.88455222,4260000000,24.51358763,8740000000,50.37335556
Peru,PER,29076000,6550000000,225.3530625,1630000000,56.13624007,1900000000,65.33368413,3270000000,112.3364014,8580000000,295.0306616
Philippines,PHL,93261000,14300000000,153.6388998,3720000000,39.86263292,2910000000,31.18329628,6200000000,66.50988828,5300000000,56.80151907
Rwanda,RWA,10624000,1700000000,159.5570889,976000000,91.89254966,2160000000,203.2875219,704000000,66.22450559,1710000000,160.758331
Senegal,SEN,12434000,5030000000,404.8410785,2580000000,207.8549078,1750000000,140.9554176,2670000000,214.6348793,1340000000,107.9351884
Sri Lanka,LKA,20860000,6180000000,296.0531564,1720000000,82.37008849,1140000000,54.7831465,3350000000,160.758588,2030000000,97.46118304
Sudan,SDN,43552000,6420000000,147.5084883,901000000,20.68392656,1560000000,35.79016789,1730000000,39.71225669,2980000000,68.38305386
Tanzania,TZA,44841000,6720000000,149.8773373,3740000000,83.35334305,6150000000,137.1362696,3360000000,74.88342112,4540000000,101.1405587
Thailand,THA,69122000,8490000000,122.8226473,2330000000,33.74616738,1170000000,16.88945741,3480000000,50.37718403,3730000000,53.94363448
Tunisia,TUN,10549000,6150000000,582.9694731,3830000000,362.8590812,704000000,66.77216063,5400000000,512.3069772,1850000000,174.9454726
Yemen,YEM,24053000,3560000000,148.1687704,1710000000,71.27809102,1130000000,46.89882105,2800000000,116.2717049,1640000000,68.11656473
Zambia,ZMB,12927000,3830000000,296.3513593,2450000000,189.1952707,3870000000,299.3616121,1410000000,108.9649262,1840000000,142.1320008
